Gen;Time;Best Score;First Place Generation;Second Place Generation;Third Place Generation
94;559.8909976482391;835.428674411095;606.0521145107323;562.1454916860674;513.1241383066832
95;565.7817599773407;835.428674411095;724.3820069186705;610.8706012379672;600.9154944691957
96;572.1349194049835;835.428674411095;626.2282361437424;581.5434098113844;573.3009642516117
97;578.0207664966583;835.428674411095;693.4180791467682;642.1912812499256;635.9762078048196
98;583.2774240970612;835.428674411095;615.9643281917408;575.7281867283665;533.7311876883681
99;588.8863055706024;835.428674411095;657.5383922920569;546.0963017974826;538.0748026269152
100;595.0475175380707;835.428674411095;588.6168162149684;578.9750025767883;526.6466787801553
101;600.915708065033;835.428674411095;500.852309743321;490.454637023209;474.79832898946347
102;607.31973695755;835.428674411095;589.5394940376946;580.0525981135697;572.9826189293235
103;613.0309519767761;835.428674411095;630.5944570035045;524.1245912125122;450.75988472062556
104;618.4872486591339;835.428674411095;667.0237093195337;663.1612498309107;596.2667939955408
105;623.4576668739319;835.428674411095;570.6741631664935;548.7384541858983;479.32202706171216
106;628.314724445343;835.428674411095;633.1956792592874;569.309503196271;518.4313573117743
107;633.13534116745;835.428674411095;577.4045153086533;567.7230569844335;521.3477775476865
108;639.0828092098236;835.428674411095;659.338218884638;648.9574710844525;622.1847602393067
109;644.908294916153;835.428674411095;599.5402011211997;577.100089957713;575.678731250312
110;650.3269739151001;835.428674411095;596.1727177474493;574.1684856377516;565.8573280957489
111;655.0898804664612;835.428674411095;588.1722548892654;541.0139240080083;533.3548668524492
112;661.3279011249542;835.428674411095;645.4213530543277;602.6719072056945;485.74584562821565
113;668.2930550575256;835.428674411095;726.5122637489925;692.3013002663835;618.4396208541152
114;673.9119985103607;835.428674411095;610.0638138451196;573.5604403371502;543.0449906792687
115;679.3570320606232;835.428674411095;669.1465288284139;669.1013990369689;645.0996781716408
116;684.5320382118225;835.428674411095;663.7219223930116;576.3633952302578;517.3617530384428
117;689.48197722435;835.428674411095;664.9901269312089;576.1006732205959;556.6303563686687
118;695.0171213150024;835.428674411095;783.5957828204025;725.481384389765;609.9495438730203
119;701.0369279384613;835.428674411095;720.643257977538;572.9226195900267;570.6338707879357
